
016-07-05 20:14:02,296|E67757E34A6086FA5A666293ECAB4A9B97FAC912|78.84.113.10:12212
2016-07-05 20:14:02,302|27EA4E3DBF77BEA1318D81C0BB3DE83759156E0B|72.89.122.107:6881
2016-07-05 20:14:02,398|CC6E74F34C603B19224E12CA0000583400003DCF|118.32.140.111:40341
2016-07-05 20:14:02,410|42082D43A1E63074ED9F60EA00000B4A0000692B|212.233.223.173:52120
2016-07-05 20:14:02,420|610B92E16CD6AE529049F1F1BBE9EBB3A6DB3F14|213.88.125.103:9000
2016-07-05 20:14:02,461|9AB97D7EF5D5F43C7440B78DEA9F8EE76F81C204|37.59.107.62:51413
2016-07-05 20:14:02,477|F4B3B2EBB3A6DB3C870C44BF00004E7300000E24|24.202.191.16:40778
2016-07-05 20:14:02,508|FCDABBBB10003F9F0000695E0000029D00000FD9|31.46.170.157:1028
2016-07-05 20:14:02,530|42178528E90A2C29376A7B0D0000198700002975|203.56.247.34:22829
2016-07-05 20:14:02,579|9763EC0B894DFAF6279A030E000014F000004F1B|81.177.231.46:57099
2016-07-05 20:14:02,588|1F58E036315A482F938C774000005B4C00002D67|68.0.102.64:45246
2016-07-05 20:14:02,628|288112D6AE529049F1F22C9400004337000051EE|176.113.148.130:14930
2016-07-05 20:14:02,651|EEDFB9E0F1A7781C1AD06B3C00004F3A00006BB0|84.6.166.35:64831
2016-07-05 20:14:02,654|99992ED98BD063350DCB083F000005A600001F70|92.80.2.28:50571
2016-07-05 20:14:02,664|726154F178B203C06EE79792000044CA000049A8|76.122.26.91:52101
2016-07-05 20:14:02,667|B77A246263D4B9BF1E7F043BA7109BCA95A35F29|104.200.152.62:7322
2016-07-05 20:14:02,672|398926BBE9EBB3A6DB3C0F40000003AE00004F8D|87.97.255.245:15136
2016-07-05 20:14:02,703|2BD1622CE7AB60CEB98485A97AD1108AA703F2CF|218.147.14.53:52426
2016-07-05 20:14:02,708|FCDABE1F14054910299495901F51466CC834CDB1|189.241.229.172:63275
2016-07-05 20:14:02,723|75CE52C514430CA241B07D2E000027E4000053B0|211.63.144.59:20755
2016-07-05 20:14:02,729|2AE53B87F901EC94FD49F3951ABB9A2CAD09652A|176.113.39.191:43059
2016-07-05 20:14:02,742|8A3C6656E276EAB505D40330D234D26230342F35|128.204.2.182:59394
2016-07-05 20:14:02,747|6743DD0A7CB5CEE9560021D40000789D00002213|70.71.26.116:60524
2016-07-05 20:14:02,761|5DD2CADFC32E9B70000027A000004A9800004FEF|77.100.73.28:21125
2016-07-05 20:14:02,763|52763A0E02AB93E4C6D4CF7B000044C700006F7B|82.53.129.156:58774
2016-07-05 20:14:02,777|50188280D664B5C3C7A6F62D3E5EB9645DF5545F|123.51.60.157:63674
2016-07-05 20:14:02,793|9445816945A711D18D92664C00005ED400006A80|154.72.161.62:6722
2016-07-05 20:14:02,795|882BBC54B16073894740598C0000280600005088|211.187.170.190:19415
2016-07-05 20:14:02,818|9FB567E001D48D30FA823F4525CE773DDCDF4158|108.227.69.162:1474
2016-07-05 20:14:02,834|37DEF0E1AFDF0062E0BE40C4DD49371664635FD4|80.57.2.92:6881
2016-07-05 20:14:02,844|9BE119A66639AB9F35A48388335391A51A6D238B|1.234.226.146:41029
2016-07-05 20:14:02,897|5B73A32D8AFD5A1697B7689C8531CD77F6E3C17C|211.212.72.52:41234
2016-07-05 20:14:02,923|97793422CB7922FA250033A30000115D00000746|78.139.5.97:37964
2016-07-05 20:14:02,931|20E5A3611A64D971F108AD9D0000112900003324|70.70.185.91:47960
2016-07-05 20:14:02,941|F77FE619F4E4310AEA3EB418B1E83244E71FBB55|2.95.133.111:23479
2016-07-05 20:14:02,944|C8D5643FC94548CD2D799588D1111F555F383DB6|46.150.83.145:47749
2016-07-05 20:14:02,957|6BDEDA0C3E99245E0D1C68D900004D7200004015|91.180.213.172:50477
2016-07-05 20:14:02,973|1000000010000000100000001000000010000000|41.202.92.96:23415
2016-07-05 20:14:02,996|71F785D6AE529049F1F1B5C900004E7000003143|46.175.80.194:53261
2016-07-05 20:14:03,008|E7A13CF079408E7779F03B76E752575EEC2BCAC7|5.248.149.38:19411
2016-07-05 20:14:03,022|FC333DC145A005E5C9854BFE000056C400004BB3|116.33.89.143:16232
2016-07-05 20:14:03,034|BF3706868380938C6E5C29D62C3610E770633791|92.83.49.6:54737
2016-07-05 20:14:03,037|A341FF46691F964EB17CFC5A93E728C62EC6078F|180.180.81.185:16978
2016-07-05 20:14:03,040|6650CFC65BCB3A9D8A5500C66B3A0AB3241733A5|94.179.113.168:6881
2016-07-05 20:14:03,054|BF3706868380938C6E5C29D62C3610E770633791|92.83.49.6:54737
2016-07-05 20:14:03,061|76DF3575B0E24BD300007DCF00004F34000020BA|72.172.197.141:38206
2016-07-05 20:14:03,083|28003AB51AA0E0D83DD4451800007ADE00005BC1|179.35.148.133:24223
2016-07-05 20:14:03,091|EE1B3F562D3F38F72AED7F0E00002A110000763B|70.106.205.187:15357
2016-07-05 20:14:03,114|9120550A
